epoch,accuracy,loss,val_accuracy,val_loss
0,0.8886666893959045,0.36157888174057007,0.90829998254776,0.31084662675857544
1,0.962933361530304,0.12114052474498749,0.939300000667572,0.20625871419906616
2,0.975683331489563,0.07881896197795868,0.948199987411499,0.18623146414756775
3,0.9810166954994202,0.06050733104348183,0.955299973487854,0.16460157930850983
4,0.984333336353302,0.05044657737016678,0.9599999785423279,0.15146324038505554
5,0.9870833158493042,0.04076274856925011,0.9625999927520752,0.15342070162296295
6,0.9892500042915344,0.032871294766664505,0.9596999883651733,0.1575801521539688
7,0.9899166822433472,0.030498629435896873,0.9642000198364258,0.15501542389392853
8,0.9914000034332275,0.026853086426854134,0.9638000130653381,0.15259340405464172
9,0.9922333359718323,0.024109987542033195,0.9599000215530396,0.1786525398492813
10,0.9929333329200745,0.022169960662722588,0.9679999947547913,0.14439193904399872
11,0.9938166737556458,0.0179461482912302,0.9660000205039978,0.161981463432312
12,0.9931666851043701,0.019218046218156815,0.9641000032424927,0.17901547253131866
13,0.9940000176429749,0.01770542562007904,0.9690999984741211,0.14930778741836548
14,0.9946333169937134,0.01659199222922325,0.9664999842643738,0.1726919561624527
15,0.994616687297821,0.016071652993559837,0.9703999757766724,0.15143786370754242
16,0.9952333569526672,0.014044844545423985,0.9692999720573425,0.1471567153930664
17,0.9955499768257141,0.012544234283268452,0.9704999923706055,0.15231731534004211
18,0.9955166578292847,0.01345472875982523,0.970300018787384,0.15994741022586823
19,0.9957666397094727,0.012609213590621948,0.9718000292778015,0.15143926441669464
20,0.9961000084877014,0.012863758951425552,0.9732999801635742,0.1338072121143341
21,0.996999979019165,0.009354395791888237,0.9707000255584717,0.18073518574237823
22,0.996066689491272,0.011461800895631313,0.9706000089645386,0.15252436697483063
23,0.9965166449546814,0.009996823966503143,0.970300018787384,0.17440146207809448
24,0.996566653251648,0.010894904844462872,0.9696000218391418,0.15378934144973755
25,0.9966333508491516,0.010975580662488937,0.9718000292778015,0.15933197736740112
26,0.996233344078064,0.011636740528047085,0.9718000292778015,0.15221430361270905
27,0.9968666434288025,0.009431872516870499,0.9697999954223633,0.1643698662519455
28,0.9968166947364807,0.009661506861448288,0.9731000065803528,0.14484192430973053
29,0.9971333146095276,0.007976585067808628,0.9708999991416931,0.16674524545669556
30,0.9973333477973938,0.007961944676935673,0.9717000126838684,0.16624858975410461
31,0.9972833395004272,0.008751735091209412,0.9672999978065491,0.17144258320331573
32,0.9973499774932861,0.008521944284439087,0.9736999869346619,0.15246213972568512
33,0.9971166849136353,0.008736040443181992,0.9739000201225281,0.17528179287910461
34,0.9971833229064941,0.008293566294014454,0.973800003528595,0.16919182240962982
35,0.997083306312561,0.009769584983587265,0.9703999757766724,0.1773424744606018
36,0.9979833364486694,0.00598598038777709,0.9746999740600586,0.17156566679477692
37,0.9972666501998901,0.00831046886742115,0.9736999869346619,0.17731602489948273
38,0.9975500106811523,0.007586798630654812,0.97079998254776,0.18425950407981873
39,0.9976000189781189,0.007455854676663876,0.9732000231742859,0.1666513830423355
40,0.9976166486740112,0.007643517572432756,0.9728000164031982,0.18376858532428741
41,0.9975500106811523,0.0074604107066988945,0.9713000059127808,0.16847360134124756
42,0.9973499774932861,0.0076678148470819,0.9740999937057495,0.164401575922966
43,0.9982166886329651,0.005848228000104427,0.9757000207901001,0.16777831315994263
44,0.99795001745224,0.006102327257394791,0.9736999869346619,0.16257146000862122
45,0.997783362865448,0.007524241227656603,0.9715999960899353,0.19352564215660095
46,0.9976999759674072,0.007223751861602068,0.9714000225067139,0.17524407804012299
47,0.9980666637420654,0.005857203155755997,0.9735000133514404,0.18755623698234558
48,0.99795001745224,0.006867506075650454,0.9747999906539917,0.17106197774410248
49,0.9980833530426025,0.006731912959367037,0.9743000268936157,0.17131826281547546
50,0.9977999925613403,0.006750405766069889,0.9750999808311462,0.15919023752212524
51,0.9983833432197571,0.005469937343150377,0.9746999740600586,0.17786674201488495
52,0.9976833462715149,0.007575512398034334,0.9750000238418579,0.17274777591228485
53,0.9977999925613403,0.006850976962596178,0.9735999703407288,0.17334230244159698
54,0.9981666803359985,0.005681407637894154,0.9778000116348267,0.16427047550678253
55,0.9978833198547363,0.006798466667532921,0.9754999876022339,0.1556871235370636
56,0.9979333281517029,0.00601135054603219,0.9750000238418579,0.17895932495594025
57,0.9981666803359985,0.006361224222928286,0.9758999943733215,0.15978845953941345
58,0.9984166622161865,0.004925363697111607,0.9775000214576721,0.1570412665605545
59,0.9981666803359985,0.006927800364792347,0.9747999906539917,0.1660880744457245
