10929.11,1470.56,4182.85
11456.44,1660.28,4519.56
12217.19,1955.35,4893.12
13039.2,2285.96,4831.47
13815.59,2752.12,4601.66
14474.23,3550.33,4579.75
14769.86,4594.34,5106.68
14478.06,5101.69,5289.49
15048.96,6087.19,5759.07
15599.73,7551.55,6233.15
16253.97,8532.19,6272.36
16843.19,9570.47,5212.33
17550.68,10475.62,4896.99
18206.02,11061.57,4444.93
18695.11,11233.31,5003.68
19477.34,12310.49,4930.84
20533.06,13894.91,5040.88
21380.98,14279.97,5117.99
21060.47,14687.74,5055.59
23315.08,17820.46,5034.62
25439.7,17963.17,4256.41
